# Time;0.7;0.07;0.007
0:00:00;0;0;0
0:00:30;4;5;5
0:01:00;4;4;4
0:01:30;4;4;4
0:02:00;4;5;5
0:02:30;4;4;5
0:03:00;4;4;4
0:03:30;4;4;4
0:04:00;4;4;5
0:04:30;4;6;5
0:05:00;10;11;9
0:05:30;9;13;16
0:06:00;9;20;17
0:06:30;11;28;24
0:07:00;13;32;31
0:07:30;14;35;37
0:08:00;16;34;37
0:08:30;24;33;44
0:09:00;29;32;49
0:09:30;36;32;50
0:10:00;37;32;50
0:10:30;41;36;54
0:11:00;40;37;56
0:11:30;48;40;57
0:12:00;51;41;61
0:12:30;57;44;67
0:13:00;59;43;68
0:13:30;62;43;66
0:14:00;68;48;70
0:14:30;76;53;74
0:15:00;86;56;71
0:15:30;87;62;70
0:16:00;90;66;70
0:16:30;104;73;76
0:17:00;102;77;72
0:17:30;96;80;65
0:18:00;89;81;58
0:18:30;81;78;51
0:19:00;73;77;43
0:19:30;63;87;37
0:20:00;56;87;29
0:20:30;59;93;25
0:21:00;61;95;21
0:21:30;68;95;21
0:22:00;69;91;21
0:22:30;74;87;21
0:23:00;74;82;16
0:23:30;79;77;14
0:24:00;75;73;15
0:24:30;72;68;19
0:25:00;68;63;16
0:25:30;64;58;13
0:26:00;59;54;10
0:26:30;55;51;12
0:27:00;60;46;8
0:27:30;58;46;9
0:28:00;59;44;9
0:28:30;61;45;9
0:29:00;58;46;9
0:29:30;57;42;17
0:30:00;53;39;24
0:30:30;54;33;30
0:31:00;54;28;33
0:31:30;51;22;35
0:32:00;48;17;32
0:32:30;46;11;37
0:33:00;42;8;39
0:33:30;41;8;41
0:34:00;37;8;42
0:34:30;36;12;43
0:35:00;32;8;40
0:35:30;25;7;41
0:36:00;17;7;49
0:36:30;15;7;55
0:37:00;16;7;52
0:37:30;16;10;52
0:38:00;13;8;48
0:38:30;13;8;44
0:39:00;9;8;40
0:39:30;8;10;35
0:40:00;8;9;31
0:40:30;8;11;28
0:41:00;7;12;27
0:41:30;8;14;22
0:42:00;8;12;17
0:42:30;8;9;13
0:43:00;9;9;8§
0:43:30;16;8;7
0:44:00;11;8;8
0:44:30;8;8;8
0:45:00;10;8;8
0:45:30;17;10;10
0:46:00;17;8;8
0:46:30;16;10;8
0:47:00;10;9;9
0:47:30;7;7;8
0:48:00;7;7;7
0:48:30;8;8;8
0:49:00;8;7;8
0:49:30;7;7;17
0:50:00;7;7;17
0:50:30;8;7;23
0:51:00;7;6;28
0:51:30;7;6;36
0:52:00;7;6;38
0:52:30;7;6;38
0:53:00;9;7;37
0:53:30;14;8;33
0:54:00;10;7;29
0:54:30;8;14;25
0:55:00;8;18;21
0:55:30;11;17;18
0:56:00;11;18;15
0:56:30;7;18;16
0:57:00;7;26;20
0:57:30;8;27;23
0:58:00;7;36;22
0:58:30;7;38;20
0:59:00;7;35;18
0:59:30;7;32;16
1:00:00;7;30;16
